Organization Name,Financial Institution Type,Native CDFI (Y/N),City,State,Zipcode,Address,Organization Website
"3CORE, Inc.",Loan Fund,N,Chico,CA,95973,2515 Ceanothus Ave Ste 105,http://www.3coreeedc.org
AAFE Community Development Fund,Loan Fund,N,New York,NY,10002--530,"2 Allen Street, 7th Floor",http://aafecdf.org/
"Access to Capital for Entrepreneurs, Inc.",Loan Fund,N,Cleveland,GA,30528--838,3173 Highway 129 North,http://www.aceloans.org
Accessity,Loan Fund,N,San Diego,CA,92114--222,404 Euclid Ave. Suite # 271,https://accessity.org/
Accion Opportunity Fund Community Development,Loan Fund,N,San Jose,CA,95113--112,"111 West St. John Street, Suite 800",https://aofund.org
"Accompany Capital, Inc.",Loan Fund,N,New York,NY,10271--309,"120 Broadway, Suite 230",www.accompanycapital.org
Acelera Financial Corp,Loan Fund,N,Los Angeles,CA,90071,"333 S. Grand Ave.
Suite 3310",www.acelerafinancial.com
ADIRONDACK ECONMIC DEVELOPMENT CORPORATION,Loan Fund,N,SARANAC LAKE,NY,12983--574,67 MAIN STREET SUITE 300,http://www.aedconline.com
"Affordable Homes of South Texas, Inc.",Loan Fund,N,McAllen,TX,78501--522,1420 Erie Ave.,www.ahsti.org
"Affordable Housing Resources, Inc.",Loan Fund,N,Nashville,TN,37228--152,"50 Vantage Way, Suite 107",www.ahrhousing.org
African Development Center,Loan Fund,N,Minneapolis,MN,55454--125,1931 South 5th Street,http://www.adcminnesota.org
African Economic Development Solutions,Loan Fund,N,St Paul,MN,55104--280,1821 University Ave W Suite S-125,http://aeds-mn.org/
"Akiptan, Inc.",Loan Fund,Y,Eagle Butte,SD,57625--085,PO Box 858,akiptan.org
"Alaska Benteh Capital, LLC",Loan Fund,N,Wasilla,AK,99687--156,PO Box 871565,http://www.alaskacdfi.org
"Alaska Growth Capital BIDCO, Inc.",Loan Fund,Y,Anchorage,AK,99503,"3800 Centerpoint Drive, Suite 1100",http://www.alaskagrowth.com
"Albany Community Together, Inc.",Loan Fund,N,Albany,GA,31701--281,230 South Jackson Street  Suite 333,www.albanycommunitytogether.com
"Allies for Community Business, Inc.",Loan Fund,N,Chicago,IL,60612--182,135 N. Kedzie,a4cb.org
AltCap,Loan Fund,N,Kansas City,MO,64111--153,"300 E. 39th Street, Suite  3G",http://www.altcap.org
American Community Capital,Loan Fund,N,Boston,MA,02110,"101 Arch Street, Floor 13",https://www.bfim.com/
"American Nonprofits, Inc.",Loan Fund,N,Santa Cruz,CA,95060,333 Front Street,www.americannonprofits.org
AnewAmerica CDFI,Loan Fund,N,Oakland,CA,94612,360 14th ST - 5th FL,http://www.anewamerica.org
Apex Fund for Economic Opportunities,Loan Fund,N,Akron,OH,44304,370 East Market Street,Non given
Apoyo Financiero Inc.,Loan Fund,N,Concord,CA,94520,"​2300 Clayton Road, Suite 1170",https://www.apoyo-financiero.com
"Appalachian Assistive Technology Loan Fund, Inc.",Loan Fund,N,King of Prussia,PA,19406--120,"1004 West 9th Avenue
1st Floor",Non given
Appalachian Community Capital Corporation,Loan Fund,N,Christiansburg,VA,24073--163,"110 Peppers Ferry Road, NW",appalachiancommunitycapitalcdfi.org
Arcata Economic Development Corporation,Loan Fund,N,Eureka,CA,95501,707 K Street,http://www.aedc1.org
Arkansas Capital Corporation,Loan Fund,N,Little Rock,AR,72201--176,200 River Market Ave  Suite 400,Non given
Ascendus Inc.,Loan Fund,N,New York,NY,10004,"25 Broadway, 10th Floor",ascendus.org
ASSETS Lancaster,Loan Fund,N,Lancaster,PA,17603,100 South Queen Street Suite 246,http://www.assetsPA.org
Aura Mortgage Advisors,Loan Fund,N,Boston,MA,02119--177,10 Malcolm X Blvd,http://auramortgage.com/
"B.S.D. Capital, Inc. dba Lendistry",Loan Fund,N,Los Angeles,CA,90021,"767 S. Alameda St., Suite 340",www.lendistry.com
Baba's Cooking School LLC dba EatsPlace,Loan Fund,N,Washington,DC,20010--162,3607 Georgia Ave NW,http://www.eatsplace.com
"BAC Funding Consortium, Inc.",Loan Fund,N,Miami,FL,33147--722,6600 NW 27th Avenue,www.bacfunding.com
"Baltimore Community Lending, Inc.",Loan Fund,N,Baltimore,MD,21201,"875 Hollins Street, Suite 301",www.bclending.org
Bankers Small Business CDC of California,Loan Fund,N,San Diego,CA,92106--611,2448 Historic Decatur Rd.   Suite 200,www.cdcloans.com
BDC Community Capital Corp.,Loan Fund,N,Wakefield,MA,01880,"500 Edgewater Drive
Suite 555",Non given
Beaufort County Black Chamber of Commerce,Loan Fund,N,Beaufort,SC,29902,711 Bladen Street,http://www.bcbcc.org
BEECH CAPITAL VENTURE CORPORATION,Loan Fund,N,PHILADELPHIA,PA,19121--341,1510 CECIL B. MOORE AVE. SUITE 302,www.beechinterplex.com
BetterFi,Loan Fund,N,Coalmont,TN,37313,9933 TN-56,https://www.betterfi.co
"Black Business Investment Fund, Inc.",Loan Fund,N,Orlando,FL,32801--273,301 E. Pine Street  Suite 175,www.bbif.com
"BLACK ECONOMIC DEVELOPMENT COALITION, INC.",Loan Fund,N,MIAMI,FL,33142--362,5120 NW 24th AVE,tfcmiami.org
"Black Hills Community Loan Fund, Inc.",Loan Fund,Y,Rapid City,SD,57703,"1764 Centre Street, Suite 1",www.bhclf.org
BlueHub Loan Fund Inc,Loan Fund,N,Boston,MA,02119--177,10 Malcolm X Boulevard,www.bluehubcapital.org
BOC Capital Corp.,Loan Fund,N,Brooklyn,NY,11217--160,"85 South Oxford, 2nd floor",www.boccapital.org
Border Financial Resources Inc,Loan Fund,N,San Luis,AZ,85349--680,"P. O. Box 730 - 963 E B Street, Suite 100",http://www.comiteaz.com/programs-border-financial-resources.html
"Brazos Valley CDC, Inc.",Loan Fund,N,Bryan,TX,77802,"4001 E. 29th Street, Suite 180",http://www.bvahc.org
Bridge Investment Community Development Corporation,Loan Fund,N,Rock Island,IL,61201--802,"100 19th Street
Suite 109",www.bridgeinvestmentcdc.org
"Bridgeway Capital, Inc.",Loan Fund,N,Pittsburgh,PA,15219,"310 Grant Street, Suite 2800",www.bridgewaycapital.org
"Brightbridge, Inc.",Loan Fund,N,Chattanooga,TN,37402,506 Broad Street,Non given
"Brooklyn Alliance Capital, Inc.",Loan Fund,N,Brooklyn,NY,11232--242,253 36th St Unit 17,https://www.brooklynchamber.com/services/financing/
"Build Fund, LLC",Loan Fund,N,indianapolis,IN,46202--181,1704 Bellefontaine Street,https://buildfund.org/
Building Hope Finance,Loan Fund,N,Washington,DC,20006--261,910 17th St. NW Ste 1100,http://www.bhope.org
Business Development Corp of SC,Loan Fund,N,Columbia,SC,29210--841,111 Executive Center Drive Ste 225,http://www.bdcofsc.org
Business Expansion Funding Corporation,Loan Fund,N,Charlotte,NC,28210,"5970 Fairview Rd.
Suite 218",https://www.befcor.com/
"BUSINESS RESOURCE AND INVESTMENT SERVICE CENTER, INC.",Loan Fund,N,New York,NY,10027--451,"55 West 125th St, 11th Floor",Non given
"Business Seed Capital, Inc.",Loan Fund,N,Roanoke,VA,24001--286,PO Box 2868,www.tapintohope.org
"Businesses Invest in Growth, Inc.",Loan Fund,N,Austin,TX,78754,"8000 Centre Park Dr., Suite 200",www.bigaustin.org
Butte Local Development Corporation,Loan Fund,N,Butte,MT,59703--050,PO BOX 507,http://www.bldc.net
CAHEC Capital Inc,Loan Fund,N,Raleigh,NC,27615--330,7700 Falls of Neuse Rd Ste 200,http://www.cahec.com
California Capital Small Business Financial Development Corporation,Loan Fund,N,Sacramento,CA,95815--432,"1792 Tribute Rd, Suite 270",www.cacapital.org
California Coastal Rural Development Corporation,Loan Fund,N,Salinas,CA,93901--047,221 Main Street  Suite 301,http://www.calcoastal.org
California Community Reinvestment Corp.,Loan Fund,N,Glendale,CA,91210,100 West Broadway  Suite 1000,http://e-ccrc.org
California FarmLink,Loan Fund,N,Aptos,CA,95003--395,335 Spreckels Dr. Suite F,http://www.californiafarmlink.org
CAMBA Economic Development Corporation,Loan Fund,N,Brooklyn,NY,11226--267,1720 Church Avenue,www.camba.org
"CANI’s Center for Community and Economic Development, Inc. dba Brightpoint Development Fund",Loan Fund,N,Fort Wayne,IN,46802,227 E. Washington Blvd.,http://www.mybrightpoint.org
Cape & Islands Community Development Inc.,Loan Fund,N,Centerville,MA,02632--142,5 Patti Page Way,http://www.coastalcommunitycapital.org
Capital for Change,Loan Fund,N,Wallingford,CT,06492--243,10 Alexander Drive,www.capitalforchange.org
Capital Impact Partners,Loan Fund,N,Arlington,VA,22202--416,"1400 Crystal Drive, Suite 500",www.capitalimpact.org
Capital Plus Financial,Loan Fund,N,Bedford,TX,76021,2247 Central Dr.,www.capitalplusfin.com
"Cares Project, Inc., The",Loan Fund,N,Winston Salem,NC,27103,"3410 Healy Drive, Suite 209",thecaresproject.org
"Carolina Community Impact, Inc.",Loan Fund,N,Raleigh,NC,27622,P.O. Box 30662,Non given
Carolina Small Business Development Fund (The Support Center),Loan Fund,N,Raleigh,NC,27604--103,3128 Highwoods Blvd  Suite 170,www.carolinasmallbusiness.org
Catalyst Development Corporation,Loan Fund,N,Savannah,GA,31401--550,"701 Martin Luther King, Jr. Blvd.",www.catalyst4people.org
Catalytic Development Funding Corp. of Northern Kentucky,Loan Fund,N,COVINGTON,KY,41011--160,"50 E RIVERCENTER BLVD
STE 260",http://www.thecatalyticfund.org
CBA Fund,Loan Fund,N,Washington,DC,20006,"1701 K Street NW
Suite 1000",Non given
CDCLI Funding Corporation,Loan Fund,N,Melville,NY,11747,"1660 Walt Whitman Road, Suite 130",http://www.cdcli.org
Center for Rural Affairs Community Capital,Loan Fund,N,Lyons,NE,68038--013,145 Main Street  PO Box 136,http://www.cfra.org/reap
CEN-TEX CERTIFIED DEVELOPMENT CORPORATION,Loan Fund,N,AUSTIN,TX,78701,1011 San Jacinto Blvd. Suite 500,http://www.bcloftexas.org
Central County Community Development Corporation,Loan Fund,N,Fort Lauderdale,FL,33311,560 NW 27th Ave,Non given
Century Housing Corporation,Loan Fund,N,Culver City,CA,90230--761,1000 Corporate Pointe,http://www.centuryhousing.org
"Champions Funding, LLC",Loan Fund,N,Gilbert,AZ,85297,"365 E Germann Rd
Suite 140",www.champstpo.com
"Change Lending, LLC",Loan Fund,N,Anaheim,CA,92808,"175 N. Riverview Drive, suite D",www.changemtg.com
Charter Schools Development Corporation,Loan Fund,N,Hanover,MD,21076--231,7880 Milestone Pkwy Suite 425,http://csdc.org
"Chattanooga Neighborhood Enterprise, Inc.",Loan Fund,N,Chattanooga,TN,37408--101,"1500 Chestnut St., Suite 102",www.cneinc.org
"Chautauqua Opportunities for Development, Inc.",Loan Fund,N,Dunkirk,NY,14048--272,17 West Courtney Street,http://www.chautauquaopportunities.com
"Chi Ishobak, Inc.",Loan Fund,Y,Dowagiac,MI,49047--777,P.O. Box 766,www.chiishobak.org
"Chicago Community Loan Fund, The",Loan Fund,N,Chicago,IL,60602--441,"29 East Madison Street, Suite 1700",www.cclfchicago.org
"Children's Investment Fund, Inc.",Loan Fund,N,Boston,MA,02108--230,"18 Tremont Street, Suite 500",https://cedac.org/cif/
CHN Housing Capital,Loan Fund,N,Cleveland,OH,44114--444,"2999 Payne Avenue, Ste. 134",https://chnhousingcapital.org/
Choctaw Home Finance Corporation,Loan Fund,Y,Hugo,OK,74743--801,P.O. Box G,www.choctawhomefinance.web-loans.com
"Cincinnati Development Fund, Inc.",Loan Fund,N,Cincinnati,OH,45202--710,1224 Race Street,http://www.cincinnatidevelopmentfund.org
Cinnaire Lending Corporation,Loan Fund,N,Chicago,IL,60606--241,225 West Washington Street  Suite 1350,www.cinnaire.com
Citizen Potawatomi Community Development Corporation,Loan Fund,Y,Shawnee,OK,74804--211,1545 Gordon Cooper Dr.,http://www.cpcdc.org
City First Enterprises Inc,Loan Fund,N,Washington,DC,20036,"1701 Rhode Island NW
Suite 3-103",http://www.cfenterprises.org
City First Homes Inc.,Loan Fund,N,Washington,DC,20036,"1701 Rhode Island NW
Suite 3-103",www.cfhomes.org
"Civic Community Partners, Inc.",Loan Fund,N,San Diego,CA,92108--164,"8989 Rio San Diego Dr., Suite 100",http://www.CivicCommunities.com
Clearinghouse Community Development Financial Institution,Loan Fund,N,Lake Forest,CA,92630--473,"23861 El Toro Road, Suite 701",http://www.clearinghousecdfi.com
"Cleveland Development Advisors Community Reinvestment Fund, Inc.",Loan Fund,N,Cleveland,OH,44115--172,1240 Huron Rd E Ste 300,www.clevelanddevelopmentadvisors.com
CLIMB Fund,Loan Fund,N,Charleston,SC,29403,2 Race Street,www.climbfund.org
"Coastal Enterprises, Inc.",Loan Fund,N,Brunswick,ME,04011--151,"30 Federal Street
Suite 100",www.ceimaine.org
"Colorado Enterprise Fund, Inc.",Loan Fund,N,Denver,CO,80203--116,"1888 Sherman Street, Suite 530",http://coloradoenterprisefund.org
"Colorado Housing Enterprises, LLC",Loan Fund,N,Westminster,CO,80030--170,7305 Lowell Blvd.  Suite 200,www.crhdc.org
Columbus Housing Initiative,Loan Fund,N,Columbus,GA,31902--162,PO Box 1620,http://nwcolumbus.org
"Common Capital, Inc.",Loan Fund,N,Springfield,MA,01103,1780 Main Street,www.commoncapitalma.org
"Communities Unlimited, Inc.",Loan Fund,N,Fayetteville,AR,72703--288,3 East Colt Square Drive,http://www.CommunitiesU.org
Community and Shelter Assistance Corporation,Loan Fund,N,Sherwood,OR,97140--993,20508 SW Roy Rogers Road  Suite 155,http://www.casaoforegon.org
Community Assets for People,Loan Fund,N,Stevens Point,WI,54481,"2900 Hoover Road
Suite A",www.capservices.org
Community Business Partnership,Loan Fund,N,Springfield,VA,22150--190,6564 Loisdale ourt  Suite 600,http://www.cbponline.org
"Community Capital New York, Inc",Loan Fund,N,Elmsford,NY,10523--132,"44 Executive Blvd, Suite 203",www.communitycapitalny.org
"Community Capital of Vermont, Inc.",Loan Fund,N,Barre,VT,05641--034,PO Box 342,http://www.communitycapitalvt.org
"Community Development and Affordable Housing Fund, LLC",Loan Fund,N,Brookline,MA,02445--412,53 Willard Rd,www.candeurgroup.com
Community Development Capital,Loan Fund,N,New Orleans,LA,70115--241,"3436 Magazine Street, Suite 601",www.cdcapital.org
Community Development Financial Institution of the Tohono O'odham Nation,Loan Fund,Y,Sells,AZ,85634,P.O. Box 3130,www.cdfiton.org
Community Development Fund of Utah,Loan Fund,N,Salt Lake City,UT,84105--291,501 E 1700 South,cdcutah.org
Community Development Resources,Loan Fund,N,Lincoln,NE,68505,912 N. 70th St.,www.cdr-nebraska.org
"Community Development Trust, LP, The",Loan Fund,N,New York,NY,10018--770,1350 Broadway  Suite 700,www.cdt.biz
"Community Economic Development Fund I, LLC",Loan Fund,N,Meriden,CT,06450--600,965 East Main Street,cedf.com
Community Enterprise Development Services,Loan Fund,N,Aurora,CO,80010,10660 E Colfax Ave Ste B,http://www.cedsfinance.org
Community First Fund,Loan Fund,N,Lancaster,PA,17608--052,P.O. Box 524,www.communityfirstfund.org
Community First Lending,Loan Fund,N,Richmond,CA,94801--152,1535 Fred Jackson Way Suite A,Not Available
Community Fund of North Miami-Dade Inc.,Loan Fund,N,Opa-locka,FL,33054,"490 Opa-Locka Blvd, Suite 20",www.olcdc.org
"Community Health Center Capital Fund, Inc.",Loan Fund,N,Boston,MA,02108--221,40 Court Street  10th Floor,chc-capitalfund.org
"Community Housing Capital, Inc.",Loan Fund,N,Decatur,GA,30030--240,402 E. Howard Avenue,CommunityHousingCapital.org
Community Housing Fund,Loan Fund,N,Beaverton,OR,97005--237,3700 SW Murray Blvd. #2200,http://thechf.org
Community Investment Collaborative,Loan Fund,N,Charlottesville,VA,22902,PO Box 2976,cicville.org
Community Investment Corporation,Loan Fund,N,Chicago,IL,60606--610,222 South Riverside Plaza  Suite 380,www.cicchicago.com
Community Investment Fund of Indiana Inc.,Loan Fund,N,Indianapolis,IN,46240,"4181 East 96th Street, Ste 200",www.capitalizingIndiana.org
Community LendingWorks,Loan Fund,N,Springfield,OR,97477--537,212 Main Street,http://www.communitylendingworks.org/
"Community Loan Fund of New Jersey, Inc.",Loan Fund,N,New Brunswick,NJ,08901--129,"100 Albany Street, Suite 250",www.newjerseycommunitycapital.org
"Community Loan Fund of the Capital Region, Inc.",Loan Fund,N,Albany,NY,12210--240,255 Orange Street  #103,http://www.mycommunityloanfund.org
Community Neighborhood Housing Services,Loan Fund,N,St Paul,MN,55103--191,533 Dale Street North,www.nwhomepartners.org
Community Preservation Corporation,Loan Fund,N,New York,NY,10017,"220 E 42nd Street, 16th Floor",www.communityp.com
"Community Redevelopment Loan and Investment Fund, Inc.",Loan Fund,N,Atlanta,GA,30303--160,"229 Peachtree Street NE, Ste 705",www.andpi.org/loanfund
"Community Reinvestment Fund, Inc",Loan Fund,N,Minneapolis,MN,55402--253,801 Nicollet Mall  Suite 1700W,http://www.crfusa.com
"Community Ventures Corporation, Inc.",Loan Fund,N,Lexington,KY,40505--316,1450 North Broadway,www.cvky.org
Community Vision Capital and Consulting,Loan Fund,N,San Francisco,CA,94102--302,"870 Market Street, Suite 677",www.communityvisionca.org
CommunityWorks,Loan Fund,N,Greenville,SC,29606,PO Box 17826,http://communityworkscarolina.org
"CommunityWorks in West Virginia, Inc.",Loan Fund,N,Charleston,WV,25302--471,4302 Crede Drive,http://www.communityworkswv.org
CommunityWorks North Dakota,Loan Fund,N,MANDAN,ND,58554--310,200 1st Avenue NW,www.lcdgroup.org
"Cook Inlet Lending Center, Inc.",Loan Fund,Y,Anchorage,AK,99503--377,"3600 Spenard Rd, Ste 100",www.cookinletlending.com
"Cooperative Business Assistance Corp, The",Loan Fund,N,Camden,NJ,08102--152,328 Market Street,cbaclenders.com
"Cooperative Fund of the Northeast, Inc.",Loan Fund,N,Watertown,MA,02471--097,P.O. Box 970,www.coopfund.coop
CORE Community Partners,Loan Fund,N,Bingham Farms,MI,48025,32500 Telegraph Road,corecommunitypartners.com
"Core Tech Capital, Inc.",Loan Fund,N,Tamuning,GU,96913--393,"388 S. Marine Corps Drive, STE 400",www.coretechintl.com
Corporacion Para El Financiamiento Empresarial Del Comercio Y De Las Comunidades (COFECC),Loan Fund,N,San Juan,PR,00919--179,PO Box 191791,http://www.cofecc.net
Corporation for Supportive Housing,Loan Fund,N,New York,NY,10006--270,"61 Broadway, 23rd Floor",www.csh.org
Council for Native Hawaiian Advancement,Loan Fund,Y,Kapolei,HI,96707--412,"91-1270 Kinoiki St., Bldg. 1",www.hawaiiancouncil.org
Craft3,Loan Fund,N,Seattle,WA,98104,"409 Maynard Avenue South, Suite 200",http://www.craft3.org
Creser Capital Fund,Loan Fund,N,Sausalito,CA,94965,"180 Harbor Drive, Suite 224",https://cresercapital.org/
Culleywood Capital,Loan Fund,N,Jackson,MS,39216,"3100 Old Canton Road, Suite 200",https://www.culleywoodcapital.com
Cumberland Capital Partners,Loan Fund,N,Nashville,TN,37211,2015 Gladstone Avenue,cumberlandcapitalpartners.org
Dakota Business Lending,Loan Fund,N,Fargo,ND,58104,5630 36th Ave. S,www.dakotabusinesslending.com
Dakota Resources,Loan Fund,N,Renner,SD,57055--654,25795 475th Ave  Suite 1,dakotaresources.org
DAYTON REGION NEW MARKET FUND LLC,Loan Fund,N,Dayton,OH,45402--190,8 North Main Street,www.citywidedev.com
Denkyem SPC,Loan Fund,N,Renton,WA,98057,241 Williams Ave. S. #2,https://denkyemcoop.com/
Detroit Development Fund,Loan Fund,N,Detroit,MI,48202,"3031 W. Grand Blvd, Suite 505",www.detroitdevelopmentfund.com
Detroit Rehabilitation Initiatives LLC,Loan Fund,N,West Palm Beach,FL,33401,319 Clematis St STE 808,www.drifund.com
"Disability Fund, Inc., The",Loan Fund,N,Rockville Centre,NY,11570--491,"265 Sunrise Highway
Suite 45",http://www.thedof.org
"Dorchester Bay Neighborhood Loan Fund, Inc.",Loan Fund,N,Dorchester,MA,02125--343,"594 Columbia Road, Suite 302",http://www.dbedc.org
"DreamKey Partners Mortgage, Inc.",Loan Fund,N,Charlotte,NC,28217--192,4601 Charlotte Park Drive  Suite 350,www.dkp.org
DreamSpring,Loan Fund,N,Albuquerque,NM,87104--204,2000 Zearing Ave. NW,www.DreamSpring.org
Eastern Maine Development Corporation,Loan Fund,N,Bangor,ME,04401--510,40 Harlow Street,http://www.emdc.org
ECDC Enterprise Development Group,Loan Fund,N,Arlington,VA,22204--240,901 S. Highland Street,https://www.edgus.org/
"Economic and Community Development Institute, Inc. (ECDI)",Loan Fund,N,Columbus,OH,43219--254,1655 Old Leonard Ave,http://www.ecdi.org
Economic Development and Financing Corporation,Loan Fund,N,Ukiah,CA,95482--484,208 B South Oak St.,http://www.edfc.org
Economic Empowerment Center,Loan Fund,N,Omaha,NE,68107,P.O. Box 7346,www.lendinglinkomaha.org
Economic Justice Fund,Loan Fund,N,Sacramento,CA,95814--340,1007 7th St Fl 4 Ste 416,www.economicjusticefund.org
Economic Opportunities Fund,Loan Fund,N,Philadelphia,PA,19103--441,2010 Chestnut Street,http://worc-pa.com
"Edge Fund, LLC",Loan Fund,N,Indianapolis,IN,46202--181,1704 Bellefontaine St,https://myedgefund.org/
El Paso Collaborative for Community and Economic Development,Loan Fund,N,El Paso,TX,79905,3607 Rivera Avenue,www.pvida.net
"Enterprise Center Capital Corporation, The",Loan Fund,N,Philadelphia,PA,19139--361,4548 Market Street,http://theenterprisecenter.com/capcorp/
"Enterprise Community Loan Fund, Inc.",Loan Fund,N,Columbia,MD,21044--349,"70 Corporate Center  11000 Broken Land Parkway, Suite 700",http://www.enterprisecommunity.org
Enterprise Development Fund of Erie County,Loan Fund,N,Erie,PA,16501,"1611 Peach Street, Suite 405",Non given
"Entre Capital, LLC",Loan Fund,N,Dallas,TX,75231--108,10830 N. Central Expressway Ste 240,www.entrecapital.com
Entrepreneur Works Fund,Loan Fund,N,Philadelphia,PA,19106--251,"400 Market Street, Suite 210",http://www.myentrepreneurworks.org
"Federation of Appalachian Housing Enterprises, Inc.",Loan Fund,N,Berea,KY,40403--090,319 Oak St,www.fahe.org
Feed the Hunger Fund,Loan Fund,N,San Francisco,CA,94129--171,"100 Montgomery St
The Presidio",feed-hunger.com
Fig Loans Texas LLC,Loan Fund,N,sugar land,TX,77479,"2245 Texas Drive, Suite 300",www.figloans.com
Finance Fund Capital Corporation,Loan Fund,N,Columbus,OH,43215,"366 East Broad Street, Suite 101",www.financefund.org
FINANTA,Loan Fund,N,Philadelphia,PA,19122--450,1301 N. 2nd Street,http://www.finanta.org
"First American Capital Corporation, Inc.",Loan Fund,Y,Hale Corners,WI,53130--203,10710 West Scharles Avenue,www.aiccw-facc.org
First Children's Finance,Loan Fund,N,Minneapolis,MN,55401,212 Third Avenue North Suite 310,http://www.firstchildrensfinance.org
"First Community Capital, Inc.",Loan Fund,N,Riverside,CA,92507,2060 Chicago Ave. STE  A11,www.fccbi.org
First Nations Community Financial,Loan Fund,Y,Black River Falls,WI,54615--880,206 S. Roosevelt Rd. Suite 123,www.firstnationsfinancial.org
"FIVE RIVERS LOAN FUND, INC",Loan Fund,Y,Happy Camp,CA,96039--000,P O BOX 805,5rlf.org
"Flagship Enterprise Capital, Inc.",Loan Fund,N,Anderson,IN,46013--967,2705 Enterprise Drive Suite #150,www.bankable.org
Florida Community Loan Fund,Loan Fund,N,Orlando,FL,32803,"800 N. Magnolia Avenue
Suite 106",www.fclf.org
Foodshed Capital,Loan Fund,N,Charlottesville,VA,22903,101 Devon Road,https://foodcap.org
