FIPS_code ,FIPS,State,State_abb,2024_population
       01        ALABAMA,1,ALABAMA,AL,5143033
       02        ALASKA,2,ALASKA,AK,733536
       04        ARIZONA,4,ARIZONA,AZ,7497004
       05        ARKANSAS,5,ARKANSAS,AR,3089060
       06        CALIFORNIA,6,CALIFORNIA,CA,38889770
       08        COLORADO,8,COLORADO,CO,5914181
       09        CONNECTICUT,9,CONNECTICUT,CT,3625646
       10        DELAWARE,10,DELAWARE,DE,1044321
       11        DISTRICT OF COLUMBIA,11,DISTRICT OF COLUMBIA,DC,686995
       12        FLORIDA,12,FLORIDA,FL,22975931
       13        GEORGIA,13,GEORGIA,GA,11145304
       15        HAWAII,15,HAWAII,HI,1430877
       16        IDAHO,16,IDAHO,ID,1990456
       17        ILLINOIS,17,ILLINOIS,IL,12516863
       18        INDIANA,18,INDIANA,IN,6892124
       19        IOWA,19,IOWA,IA,3214315
       20        KANSAS,20,KANSAS,KS,2944376
       21        KENTUCKY,21,KENTUCKY,KY,4540745
       22        LOUISIANA,22,LOUISIANA,LA,4559475
       23        MAINE,23,MAINE,ME,1402106
       24        MARYLAND,24,MARYLAND,MD,6196525
       25        MASSACHUSETTS,25,MASSACHUSETTS,MA,7020058
       26        MICHIGAN,26,MICHIGAN,MI,10041241
       27        MINNESOTA,27,MINNESOTA,MN,5761530
       28        MISSISSIPPI,28,MISSISSIPPI,MS,2940452
       29        MISSOURI,29,MISSOURI,MO,6215144
       30        MONTANA,30,MONTANA,MT,1142746
       31        NEBRASKA,31,NEBRASKA,NE,1988698
       32        NEVADA,32,NEVADA,NV,3210931
       33        NEW HAMPSHIRE,33,NEW HAMPSHIRE,NH,1405105
       34        NEW JERSEY,34,NEW JERSEY,NJ,9320865
       35        NEW MEXICO,35,NEW MEXICO,NM,2115266
       36        NEW YORK,36,NEW YORK,NY,19469232
       37        NORTH CAROLINA,37,NORTH CAROLINA,NC,10975017
       38        NORTH DAKOTA,38,NORTH DAKOTA,ND,788940
       39        OHIO,39,OHIO,OH,11812173
       40        OKLAHOMA,40,OKLAHOMA,OK,4088377
       41        OREGON,41,OREGON,OR,4227337
       42        PENNSYLVANIA,42,PENNSYLVANIA,PA,12951275
       44        RHODE ISLAND,44,RHODE ISLAND,RI,1098082
       45        SOUTH CAROLINA,45,SOUTH CAROLINA,SC,5464155
       46        SOUTH DAKOTA,46,SOUTH DAKOTA,SD,928767
       47        TENNESSEE,47,TENNESSEE,TN,7204002
       48        TEXAS,48,TEXAS,TX,30976754
       49        UTAH,49,UTAH,UT,3454232
       50        VERMONT,50,VERMONT,VT,647818
       51        VIRGINIA,51,VIRGINIA,VA,8752297
       53        WASHINGTON,53,WASHINGTON,WA,7841283
       54        WEST VIRGINIA,54,WEST VIRGINIA,WV,1766107
       55        WISCONSIN,55,WISCONSIN,WI,5931367
       56        WYOMING,56,WYOMING,WY,586485